,id,Published,Modified,summary,cvss,cwe,labels
0,CVE-2014-7552,2014-10-20T10:55:00.000Z,2014-11-14T14:13:00.000Z,"The Zombie Diary (aka com.ezjoy.feelingtouch.zombiediary) application 1.2.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
1,CVE-2014-7745,2014-10-21T10:55:00.000Z,2014-11-14T14:17:00.000Z,"The Flight Manager (aka com.flightmanager.view) application 4.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
2,CVE-2014-6661,2014-09-23T10:55:00.000Z,2014-09-26T15:55:00.000Z,"The netease movie (aka com.netease.movie) application 4.7.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
3,CVE-2014-5601,2014-09-09T01:55:00.000Z,2014-09-10T02:04:00.000Z,"The 1800CONTACTS App (aka com.contacts1800.ecomapp) application 2.7.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
4,CVE-2022-32550,2022-06-15T19:15:00.000Z,2022-06-24T17:27:00.000Z,"An issue was discovered in AgileBits 1Password, involving the method various 1Password apps and integrations used to create connections to the 1Password service. In specific circumstances, this issue allowed a malicious server to convince a 1Password app or integration it is communicating with the 1Password service.",5.8,NVD-CWE-noinfo,"None"
5,CVE-2018-13042,2018-10-05T21:29:00.000Z,2020-01-22T14:58:00.000Z,"The 1Password application 6.8 for Android is affected by a Denial Of Service vulnerability. By starting the activity com.agilebits.onepassword.filling.openyolo.OpenYoloDeleteActivity or com.agilebits.onepassword.filling.openyolo.OpenYoloRetrieveActivity from an external application (since they are exported), it is possible to crash the 1Password instance.",4.3,CWE-20,"Denial Of Service"
6,CVE-2014-5884,2014-09-12T16:55:00.000Z,2014-09-22T17:35:00.000Z,"The 1&1 Online Storage (aka de.einsundeins.smartdrive) application 5.0.11 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
7,CVE-2014-5842,2014-09-09T10:55:00.000Z,2014-09-21T02:05:00.000Z,"The 2G Live Tv (aka com.ww2GLiveTv) application 0.9 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
8,CVE-2014-7735,2014-10-21T10:55:00.000Z,2014-11-14T14:17:00.000Z,"The Dr. Sheikh Adnan Ibrahim (aka com.amitaff.adnanIbrahim) application 1.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
9,CVE-2014-6726,2014-09-26T10:55:00.000Z,2014-09-26T14:44:00.000Z,"The 30A (aka com.app30a) application 5.26.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
10,CVE-2021-45490,2022-03-28T02:15:00.000Z,2022-04-04T20:36:00.000Z,"The client applications in 3CX on Windows, the 3CX app for iOS, and the 3CX application for Android through 2022-03-17 lack SSL certificate validation.",6.4,CWE-295,"None"
11,CVE-2014-6694,2014-09-24T01:55:00.000Z,2014-10-04T23:58:00.000Z,"The 5SOS Family Planet (aka uk.co.pixelkicks.fivesos) application 2.3.4 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
12,CVE-2014-5838,2014-09-09T10:55:00.000Z,2014-09-21T01:04:00.000Z,"The Girls Games - Shoes Maker (aka com.g6677.android.shoemaker) application 1.0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
13,CVE-2014-5883,2014-09-12T16:55:00.000Z,2014-09-22T17:34:00.000Z,"The 7-ELEVEN (aka ecowork.seven) application 2.08.000 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
14,CVE-2014-7428,2014-10-19T10:55:00.000Z,2014-11-14T14:11:00.000Z,"The 7725.com Three Kingdoms (aka com.platform7725.youai.jiejian) application 2.4 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
15,CVE-2020-5523,2020-01-28T06:15:00.000Z,2020-01-31T20:24:00.000Z,"Android App 'MyPallete' and some of the Android banking applications based on 'MyPallete' do not verify X.509 certificates from servers, and also do not properly validate certificates with host-mismatch, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.8,CWE-295,"Obtain Information"
16,CVE-2014-7766,2014-10-21T10:55:00.000Z,2014-11-14T14:18:00.000Z,"The 7 Habits Personal Development (aka appinventor.ai_ingka_d_jiw.TheCompleteGuideToApplyingThe7HabitsInHolisticPersonalDevelopment) application 1.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
17,CVE-2014-1967,2014-02-27T01:55:00.000Z,2014-02-27T18:58:00.000Z,"The Denny's application before 2.0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.8,CWE-310,"Obtain Information"
18,CVE-2014-6707,2014-09-25T01:55:00.000Z,2014-11-14T13:58:00.000Z,"The 7Sage LSAT Prep - Proctor (aka com.sevensage.lsat) application 2.1.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
19,CVE-2014-5756,2014-09-09T10:55:00.000Z,2014-09-16T18:25:00.000Z,"The Buy 99 Cents Only Products (aka com.ww99CentsOnlyStores) application 0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
20,CVE-2019-12366,2020-03-18T19:15:00.000Z,2020-03-19T17:46:00.000Z,"The Nine application through 4.5.3a for Android allows XSS via an event attribute and arbitrary file loading via a src attribute, if the application has the READ_EXTERNAL_STORAGE permission.",4.3,CWE-79,"Cross Site Scripting"
21,CVE-2014-5669,2014-09-09T01:55:00.000Z,2014-09-11T01:33:00.000Z,"The 9GAG - Funny pics and videos (aka com.ninegag.android.app) application 2.4.10 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
22,CVE-2014-6736,2014-09-27T01:55:00.000Z,2014-11-14T13:59:00.000Z,"The EPL Hat Trick (aka com.hat.trick.goal) application 1.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
23,CVE-2014-6750,2014-09-28T01:55:00.000Z,2014-11-14T14:28:00.000Z,"The $0.99 Kindle Books (aka com.kindle.books.for99) application 6.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
24,CVE-2014-7701,2014-10-21T10:55:00.000Z,2014-11-14T14:17:00.000Z,"The DoNotTrackMe - Mobile Privacy (aka com.abine.dnt) application 1.1.8 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
25,CVE-2014-6782,2014-09-29T01:55:00.000Z,2014-11-14T14:00:00.000Z,"The Abraham Tours (aka com.mytoursapp.android.app432) application 1.1.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
26,CVE-2014-7566,2014-10-20T10:55:00.000Z,2014-11-14T14:14:00.000Z,"The Stift Neuburg (aka de.appack.project.neuburg) application 1.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
27,CVE-2014-6797,2014-09-29T01:55:00.000Z,2014-11-14T14:00:00.000Z,"The Abu Ali Anasheeds (aka com.faapps.abuali_anasheeds) application 1.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
28,CVE-2014-7387,2014-10-19T10:55:00.000Z,2014-11-14T14:10:00.000Z,"The ACC Advocacy Action (aka com.acc.app.android.ui) application 2.0 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
29,CVE-2016-5648,2017-06-08T20:29:00.000Z,2018-10-09T20:00:00.000Z,"Acer Portal app before 3.9.4.2000 for Android does not properly validate SSL certificates, which allows remote attackers to perform a Man-in-the-middle attack via a crafted SSL certificate.",4.3,CWE-295,"None"
30,CVE-2014-5564,2014-09-09T01:55:00.000Z,2014-09-09T18:14:00.000Z,"The Angry Gran Toss (aka com.aceviral.angrygrantoss) application 1.1.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
31,CVE-2012-5812,2012-11-04T22:55:00.000Z,2017-08-29T01:32:00.000Z,"The ACRA library for Android does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",5.8,CWE-20,"None"
32,CVE-2008-1280,2008-03-10T23:44:00.000Z,2018-10-11T20:31:00.000Z,"Acronis True Image Windows Agent 1.0.0.54 and earlier, included in Acronis True Image Enterprise Server 9.5.0.8072 and the other True Image packages, allows remote attackers to cause a denial of service (crash) via a malformed packet to port 9876, which triggers a NULL pointer dereference.",5.0,CWE-20,"Denial Of Service"
33,CVE-2017-3219,2017-06-21T20:29:00.000Z,2019-10-09T23:27:00.000Z,Acronis True Image up to and including version 2017 Build 8053 performs software updates using HTTP. Downloaded updates are only verified using a server-provided MD5 hash.,8.3,CWE-345,"None"
34,CVE-2014-6808,2014-09-30T10:55:00.000Z,2014-11-14T14:01:00.000Z,"The Active 24 (aka com.zentity.app.active24) application 1.0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
35,CVE-2014-7605,2014-10-20T10:55:00.000Z,2014-11-14T14:14:00.000Z,"The Actors Key (aka com.conduit.app_f83daeb6861b401bb103c33ea4210029.app) application 1.6.24.477 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
36,CVE-2014-5524,2014-09-09T01:55:00.000Z,2014-09-09T14:47:00.000Z,"The Adcolony library for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
37,CVE-2014-6663,2014-09-23T10:55:00.000Z,2014-09-26T17:58:00.000Z,"The Addis Gag Funny Amharic Pic (aka com.wAmharicFunnyPicture) application 0.1 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
38,CVE-2013-3643,2013-06-17T03:29:00.000Z,2013-06-17T04:00:00.000Z,"The Galapagos Browser application for Android does not properly implement the WebView class, which allows attackers to obtain sensitive information via a crafted application.",4.3,CWE-200,"Obtain Information"
39,CVE-2014-6995,2014-10-16T19:55:00.000Z,2014-11-14T14:05:00.000Z,"The adidas eyewear (aka com.adidasep.eyewear) application 1.2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
40,CVE-2014-5532,2014-09-09T01:55:00.000Z,2014-09-09T15:20:00.000Z,"The Honolulu (aka adidas.jp.android.running.honolulu) application 2 for Android does not verify X.509 certificates from SSL servers, which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate.",5.4,CWE-310,"Obtain Information"
41,CVE-2021-40724,2021-10-15T15:15:00.000Z,2021-10-21T21:12:00.000Z,Acrobat Reader for Android versions 21.8.0 (and earlier) are affected by a Path traversal vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.,6.8,CWE-22,"Execute Code,Directory traversal"
42,CVE-2020-24441,2020-11-12T15:15:00.000Z,2022-10-21T18:56:00.000Z,Adobe Acrobat Reader for Android version 20.6.2 (and earlier) does not properly restrict access to directories created by the application. This could result in disclosure of sensitive information stored in databases used by the application. Exploitation requires a victim to download and run a malicious application.,4.3,NVD-CWE-Other,"None"
43,CVE-2013-0646,2013-03-13T16:55:00.000Z,2014-03-26T04:44:00.000Z,"Integer overflow in Adobe Flash Player before 10.3.183.68 and 11.x before 11.6.602.180 on Windows and Mac OS X, before 10.3.183.68 and 11.x before 11.2.202.275 on Linux, before 11.1.111.44 on Android 2.x and 3.x, and before 11.1.115.48 on Android 4.x; Adobe AIR before 3.6.0.6090; Adobe AIR SDK before 3.6.0.6090; and Adobe AIR SDK & Compiler before 3.6.0.6090 allows attackers to execute arbitrary code via unspecified vectors.",10.0,CWE-189,"Execute Code,Overflow"
